"Abbreviation"	"Reaction"	"Description"	"Reaction_desc"
"R12369"	"C22114[c] + 2 C00999[c] + C00007[c] + 2 C00080[c] <=> C22115[c] + 2 C00996[c] + 2 C00001[c]"	"4alpha-(hydroxymethyl)-4beta,14alpha-dimethyl-9beta,19-cyclo-5alpha-ergost-24(24(1))-en-3beta-ol,ferrocytochrome-b5:oxygen oxidoreductase"	"4alpha-(Hydroxymethyl)-4beta,14alpha-dimethyl-9beta,19-cyclo-5alpha-ergost-24(24(1))-en-3beta-ol + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> 4alpha-Formyl-4beta,14alpha-dimethyl-9beta,19-cyclo-5alpha-ergost-24(24(1))-en-3beta-ol + 2 Ferricytochrome b5 + 2 H2O"
"R01790"	"C00369[c] + C00001[c] <=> C00031[c] + C00369[c]"	"1,4-alpha-D-glucan glucohydrolase"	"Starch + H2O <=> D-Glucose + Starch"
"R02003"	"C00341[c] + C00129[c] <=> C00013[c] + C00448[c]"	"geranyl-diphosphate:isopentenyl-diphosphate geranyltrans-transferase"	"Geranyl diphosphate + Isopentenyl diphosphate <=> Diphosphate + trans,trans-Farnesyl diphosphate"
"R00365"	"C00037[c] + C00001[c] + C00003[c] <=> C00048[c] + C00014[c] + C00004[c] + C00080[c]"	"glycine:NAD+ oxidoreductase (deaminating)"	"Glycine + H2O + NAD+ <=> Glyoxylate + Ammonia + NADH + H+"
"R13229"	"C00353[c] <=> C22840[c] + C00013[c]"	"geranylgeranyl-diphosphate diphosphate-lyase [cyclizing, dolasta-1(15),8-diene-forming]"	"Geranylgeranyl diphosphate <=> (5R,12R,14S)-Dolasta-1(15),8-diene + Diphosphate"
"R08500"	"C01852[c] <=> C09782[c]"	"X"	"Secologanin <=> Gentiopicrin"
"R03541"	"C17627[c] + C00001[c] <=> C17628[c] + C00013[c]"	"prenyl-diphosphate diphosphohydrolase"	"Prenyl diphosphate + H2O <=> Prenol + Diphosphate"
"R03019"	"C00019[c] + C00868[c] <=> C00170[c] + C04510[c]"	"S-adenosyl-L-methionine:tRNA-uridine 3-(3-amino-3-carboxypropyl)transferase"	"S-Adenosyl-L-methionine + tRNA uridine <=> 5'-Methylthioadenosine + 3-[(3S)-3-Amino-3-carboxypropyl]-uridine in tRNA"
"R01397"	"C00169[c] + C00049[c] <=> C00009[c] + C00438[c]"	"carbamoyl-phosphate:L-aspartate carbamoyltransferase"	"Carbamoyl phosphate + L-Aspartate <=> Orthophosphate + N-Carbamoyl-L-aspartate"
"R01974"	"C00331[c] <=> C00637[c] + C00011[c]"	"3-(indol-3-yl)pyruvate carboxy-lyase [(2-indol-3-yl)acetaldehyde-forming]"	"Indolepyruvate <=> Indole-3-acetaldehyde + CO2"
"R09913"	"C01054[c] <=> C20192[c]"	"(3S)-2,3-epoxy-2,3-dihydrosqualene mutase (cyclizing, marneral-forming)"	"(S)-2,3-Epoxysqualene <=> Marneral"
"R10368"	"C20550[c] + C00005[c] + C00007[c] + C00080[c] <=> C20551[c] + C00006[c] + 2 C00001[c]"	"X"	"Lolitrem E + NADPH + Oxygen + H+ <=> Lolitrem B + NADP+ + 2 H2O"
"R11865"	"C21731[c] + C00030[c] <=> C05570[c] + C00028[c] + C00001[c]"	"X"	"2-(Hydroxysulfanyl)hercynine + Reduced acceptor <=> Ergothioneine + Acceptor + H2O"
"R10876"	"C11911[c] + C15685[c] <=> C15684[c] + C00363[c]"	"dTDP-3-dimethylamino-3,4,6-trideoxy-alpha-D-glucopyranose:protomycinolide-IV 5-O-(3-dimethylamino-3,4,6-trideoxy-beta-D-glucosyl)transferase;"	"dTDP-D-desosamine + Protomycinolide IV <=> Mycinamicin VIII + dTDP"
"R12232"	"C22015[c] + C03024[c] + C00007[c] <=> C22016[c] + C03161[c] + C00001[c]"	"indole-3-carbonyl nitrile,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (4-hydroxylating)"	"Indole-3-carbonyl nitrile + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 4-Hydroxyindole-3-carbonyl nitrile + [Oxidized NADPH---hemoprotein reductase] + H2O"
"R08240"	"C04646[c] + C00003[c] + C00001[c] <=> C16618[c] + C00004[c] + C00080[c]"	"6-thioinosine 5'-monophosphate:NAD+ oxidoreductase"	"6-Thioinosine-5'-monophosphate + NAD+ + H2O <=> 6-Thioxanthine 5'-monophosphate + NADH + H+"
"R11043"	"C00510[c] + 2 C00999[c] + C00007[c] + 2 C00080[c] <=> C02050[c] + 2 C00996[c] + 2 C00001[c]"	"oleoyl-CoA,ferrocytochrome-b5:oxygen oxidoreductase (12,13 cis-dehydrogenating)"	"Oleoyl-CoA + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> Linoleoyl-CoA + 2 Ferricytochrome b5 + 2 H2O"
"R04600"	"C06048[c] + C00004[c] + C00080[c] <=> C04797[c] + C00003[c]"	"3,4-dihydroxy-L-phenylalanine:oxygen 2,3-oxidoreductase (recyclizing)"	"Stizolobinate + NADH + H+ <=> 5-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde + NAD+"
"R06188"	"G00246 + G10616 <=> G00255 + G10621"	"CMP-N-acetylneuraminate:beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosamine alpha-2,6-N-acetylneuraminyltransferase"	"G00246 + G10616 <=> G00255 + G10621"
"R01636"	"C02236[c] + C00007[c] + C00004[c] + C00080[c] <=> C00230[c] + C00094[c] + C00003[c]"	"4-sulfobenzoate,NADH:oxygen oxidoreductase (3,4-hydroxylating, sulfite-forming)"	"4-Sulfobenzoate + Oxygen + NADH + H+ <=> 3,4-Dihydroxybenzoate + Sulfite + NAD+"
"R01353"	"C00002[c] + C00163[c] <=> C00008[c] + C02876[c]"	"ATP:propanoate phosphotransferase"	"ATP + Propanoate <=> ADP + Propanoyl phosphate"
"R01196"	"2 C00138[c] + C00024[c] + C00011[c] + 2 C00080[c] <=> 2 C00139[c] + C00022[c] + C00010[c]"	"pyruvate:ferredoxin 2-oxidoreductase (CoA-acetylating)"	"2 Reduced ferredoxin + Acetyl-CoA + CO2 + 2 H+ <=> 2 Oxidized ferredoxin + Pyruvate + CoA"
"R07912"	"C16312[c] + C00029[c] <=> C16314[c] + C00015[c]"	"UDP-glucose:anthocyanin 3'-O-beta-D-glucosyltransferase"	"Delphinidin 3,5-diglucoside + UDP-glucose <=> Delphinidin 3,5,3'-triglucoside + UDP"
"R08056"	"C00818[c] <=> C03921[c] + C00001[c]"	"D-glucarate hydro-lyase"	"D-Glucarate <=> 2-Dehydro-3-deoxy-D-glucarate + H2O"
"R10294"	"C20490[c] + C00029[c] <=> C20493[c] + C00015[c]"	"UDP-alpha-D-glucose:cyanidin-3-O-beta-D-sambubioside 5-O-glucosyltransferase"	"Cyanidin 3-O-beta-D-sambubioside + UDP-glucose <=> Cyanidin 5-O-beta-D-glucoside 3-O-beta-D-sambubioside + UDP"
"R13169"	"G00062 + G10611 <=> G00883 + G10619"	"X"	"G00062 + G10611 <=> G00883 + G10619"
"R12576"	"C00002[c] + C00230[c] <=> C00013[c] + C20884[c]"	"X"	"ATP + 3,4-Dihydroxybenzoate <=> Diphosphate + (3,4-Dihydroxybenzoyl)adenylate"
"R10172"	"C01944[c] + C01209[c] <=> C05753[c] + C00010[c] + C00011[c]"	"octanoyl-CoA:malonyl-[acyl-carrier protein] C-heptanoyltransferase (decarboxylating, CoA-forming)"	"Octanoyl-CoA + Malonyl-[acyl-carrier protein] <=> 3-Oxodecanoyl-[acp] + CoA + CO2"
"R07481"	"C01902[c] + C00019[c] <=> C08830[c] + C00021[c]"	"X"	"Cycloartenol + S-Adenosyl-L-methionine <=> 24-Methylidenecycloartanol + S-Adenosyl-L-homocysteine"
"R10594"	"C00029[c] + C20719[c] <=> C00015[c] + C20720[c]"	"UDP-alpha-D-glucose:vancomycin aglycone 48-O-beta-glucosyltransferase"	"UDP-glucose + Vancomycin aglycone <=> UDP + Desvancosaminyl-vancomycin"
"R07888"	"C16327[c] + C00016[c] <=> C16328[c] + C01352[c]"	"X"	"OPC8-CoA + FAD <=> trans-2-Enoyl-OPC8-CoA + FADH2"
"R03834"	"C02106[c] + C03024[c] + C00007[c] <=> C05174[c] + C03161[c] + 2 C00001[c]"	"(S)-scoulerine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase [(S)-cheilanthifoline-forming]"	"(S)-Scoulerine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> (S)-Cheilanthifoline + [Oxidized NADPH---hemoprotein reductase] + 2 H2O"
"R09045"	"C10793[c] <=> C18135[c]"	"X"	"Geranylhydroquinone <=> Dihydroshikonofuran"
"R00477"	"C01990[c] <=> C00036[c] + C00048[c]"	"3-oxalomalate glyoxylate-lyase (oxaloacetate-forming)"	"3-Oxalomalate <=> Oxaloacetate + Glyoxylate"
"R09264"	"C18333[c] + C00005[c] + C00080[c] <=> C18334[c] + C00006[c]"	"X"	"7,9,12-Decaketide intermediate 4 + NADPH + H+ <=> 7,9,12-Decaketide intermediate 5 + NADP+"
"R06072"	"G10506 + G11110 <=> G10506 + G10619"	"UDP-D-galacturonate:1,4-alpha-poly-D-galacturonate 4-alpha-D-galacturonosyltransferase"	"G10506 + G11110 <=> G10506 + G10619"
"R03654"	"C00002[c] + C00037[c] + C01642[c] <=> C00020[c] + C00013[c] + C02412[c]"	"glycine:tRNA(Gly) ligase (AMP-forming)"	"ATP + Glycine + tRNA(Gly) <=> AMP + Diphosphate + Glycyl-tRNA(Gly)"
"R09061"	"C02139[c] + C00001[c] <=> C18157[c] + C00132[c] + C00011[c]"	"chlorophyllide-a hydrolase"	"Chlorophyllide + H2O <=> 8-Ethyl-12-methyl-3-vinylbacteriochlorophyllide d + Methanol + CO2"
"R01963"	"C01075[c] + C00001[c] <=> C00329[c] + C00059[c]"	"N-sulfo-D-glucosamine sulfohydrolase"	"N-Sulfo-D-glucosamine + H2O <=> D-Glucosamine + Sulfate"
"R03591"	"C01516[c] + C00003[c] <=> C01735[c] + C00004[c] + C00080[c]"	"morphine:NAD+ 6-oxidoreductase"	"Morphine + NAD+ <=> Morphinone + NADH + H+"
"R05910"	"G10610 + G00023 <=> G10619 + G00031"	"X"	"G10610 + G00023 <=> G10619 + G00031"
"R12332"	"C06554[c] + C00001[c] <=> C22084[c]"	"cyanuric acid amidohydrolase"	"Cyanuric acid + H2O <=> 1-Carboxybiuret"
"R11180"	"C01168[c] + C00001[c] <=> C02067[c] + C00009[c]"	"pseudouridine-5'-phosphate phosphohydrolase"	"Pseudouridine 5'-phosphate + H2O <=> Pseudouridine + Orthophosphate"
"R09583"	"C00078[c] + C03024[c] + C00007[c] <=> C19716[c] + C03161[c] + C00001[c]"	"L-tryptophan,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (N-hydroxylating)"	"L-Tryptophan + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> N-Hydroxy-L-tryptophan + [Oxidized NADPH---hemoprotein reductase] + H2O"
"R11718"	"C05925[c] <=> C01300[c] + C21614[c]"	"7,8-dihydroneopterin-3'-phosphate glycolaldehyde-phosphate-lyase [6-(hydroxymethyl)-7,8-dihydropterin-forming]"	"Dihydroneopterin phosphate <=> 6-(Hydroxymethyl)-7,8-dihydropterin + Glycolaldehyde phosphate"
"R01146"	"C00132[c] + 2 C18233[c] <=> C00067[c] + 2 C18234[c] + 2 C00080[c]"	"methanol:ferricytochrome-c oxidoreductase;"	"Methanol + 2 Ferricytochrome cL <=> Formaldehyde + 2 Ferrocytochrome cL + 2 H+"
"R10370"	"C20548[c] + C00235[c] <=> C20550[c] + C00013[c]"	"dimethylallyl-diphosphate:lolitriol dimethylallyl-O-transferase"	"Lolitriol + Dimethylallyl diphosphate <=> Lolitrem E + Diphosphate"
"R12085"	"C00024[c] + C01165[c] <=> C00010[c] + C01250[c]"	"acetyl-CoA:L-glutamate-5-semialdehyde N-acetyltransferase"	"Acetyl-CoA + L-Glutamate 5-semialdehyde <=> CoA + N-Acetyl-L-glutamate 5-semialdehyde"
"R12146"	"C15930[c] + C00003[c] <=> C00558[c] + C00004[c] + C00080[c]"	"L-galactonate:NAD+ 5-oxidoreductase"	"L-Galactonate + NAD+ <=> D-Tagaturonate + NADH + H+"
"R13212"	"C03681[c] + C03024[c] + C00007[c] <=> C22831[c] + C03161[c] + C00001[c]"	"5alpha-pregnane-3,20-dione,NADPH---hemoprotein reductase:oxygen oxidoreductase (17alpha-hydroxylating)"	"5alpha-Pregnane-3,20-dione + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 5alpha-Pregnan-17alpha-ol-3,20-dione + [Oxidized NADPH---hemoprotein reductase] + H2O"
"R09196"	"C18294[c] <=> C18295[c]"	"X"	"Nonaketamide tricyclic intermediate <=> Pretetramid"
"R07512"	"C15858[c] <=> C05432[c]"	"7,9,7',9'-tetracis-lycopene cis-trans-isomerase"	"7,9,7',9'-tetracis-Lycopene <=> Lycopene"
"R07183"	"C15499[c] + C00007[c] <=> C00033[c] + C00546[c]"	"acetylacetone:oxygen oxidoreductase"	"Pentane-2,4-dione + Oxygen <=> Acetate + Methylglyoxal"
"R07072"	"C14840[c] + C00001[c] <=> C14842[c]"	"bromobenzene-2,3-oxide hydrolase"	"Bromobenzene-2,3-oxide + H2O <=> Bromobenzene-2,3-dihydrodiol"
"R01676"	"C00242[c] + C00001[c] <=> C00385[c] + C00014[c]"	"guanine aminohydrolase"	"Guanine + H2O <=> Xanthine + Ammonia"
"R12927"	"C01711[c] <=> C04420[c] + C00001[c]"	"inulobiose hydro-lyase (alpha-D-fructofuranose-beta-D-fructofuranose 2',1:2,3'-dianhydride-forming)"	"Inulobiose <=> alpha-D-Fructofuranose-beta-D-fructofuranose 2',1:2,3'-dianhydride + H2O"
"R04478"	"C04115[c] <=> C04434[c] + C00001[c]"	"2-hydroxy-4-oxobutane-1,2,4-tricarboxylate 2,3-hydro-lyase"	"4-Carboxy-4-hydroxy-2-oxoadipate <=> (1E)-4-Oxobut-1-ene-1,2,4-tricarboxylate + H2O"
"R00907"	"C00041[c] + C00222[c] <=> C00022[c] + C00099[c]"	"L-alanine:3-oxopropanoate aminotransferase"	"L-Alanine + 3-Oxopropanoate <=> Pyruvate + beta-Alanine"
"R12548"	"C00143[c] + C01764[c] + C00004[c] + C00080[c] <=> C00101[c] + C03446[c] + C00003[c]"	"5,10-methylenetetrahydrofolate:tRNA (uracil54-C5)-methyltransferase"	"5,10-Methylenetetrahydrofolate + tRNA containing uridine at position 54 + NADH + H+ <=> Tetrahydrofolate + tRNA containing ribothymidine at position 54 + NAD+"
"R02016"	"C00342[c] + C00006[c] <=> C00343[c] + C00005[c] + C00080[c]"	"NADPH:oxidized-thioredoxin oxidoreductase"	"Thioredoxin + NADP+ <=> Thioredoxin disulfide + NADPH + H+"
"R06919"	"C14091[c] + C00007[c] + C00004[c] + C00080[c] <=> C14092[c] + C00003[c]"	"X"	"1-Naphthoic acid + Oxygen + NADH + H+ <=> cis-1,2-Dihydroxy-1,2-dihydro-8-carboxynaphthalene + NAD+"
"R10250"	"C10453[c] + C00019[c] <=> C10454[c] + C00021[c]"	"S-adenosyl-L-methionine:eugenol O-methyltransferase"	"Eugenol + S-Adenosyl-L-methionine <=> Methyleugenol + S-Adenosyl-L-homocysteine"
"R02598"	"C01064[c] + C00001[c] <=> C00055[c] + C00591[c]"	"CMP-N-acylneuraminate N-acylneuraminohydrolase"	"CMP-N-acylneuraminate + H2O <=> CMP + N-Acylneuraminate"
"R07109"	"C14770[c] + C00001[c] <=> C14774[c]"	"11,12-EET hydrolase"	"11,12-EET + H2O <=> 11,12-DHET"
"R11345"	"C03391[c] + C00026[c] + C00007[c] <=> C00821[c] + C00067[c] + C00042[c] + C00011[c]"	"DNA-N6-methyladenosine,2-oxoglutarate:oxygen oxidoreductase (formaldehyde-forming)"	"DNA 6-methylaminopurine + 2-Oxoglutarate + Oxygen <=> DNA adenine + Formaldehyde + Succinate + CO2"
"R03841"	"C02133[c] + C00738[c] <=> C00060[c] + C02672[c]"	"acyl-phosphate:D-hexose phosphotransferase"	"Acyl phosphate + D-Hexose <=> Carboxylate + D-Hexose phosphate"
"R07159"	"C00118[c] + C00001[c] + 2 C00139[c] <=> C00197[c] + 2 C00080[c] + 2 C00138[c]"	"D-glyceraldehyde-3-phosphate:ferredoxin oxidoreductase"	"D-Glyceraldehyde 3-phosphate + H2O + 2 Oxidized ferredoxin <=> 3-Phospho-D-glycerate + 2 H+ + 2 Reduced ferredoxin"
"R07067"	"C05958[c] <=> C14717[c] + C00001[c]"	"X"	"Delta-12-Prostaglandin J2 <=> 15-Deoxy-Delta12,14-PGJ2 + H2O"
"R10815"	"C02339[c] + C00001[c] <=> C20183[c] + C20863[c]"	"5'-(N7-methylguanosine 5'-triphospho)-[mRNA] N7-methylguanosine-5'-diphosphate phosphohydrolase"	"m7G(5')pppR-mRNA + H2O <=> N7-Methylguanosine 5'-diphosphate + 5'-Phospho-[mRNA]"
"R09365"	"C05698[c] + C04489[c] <=> C05335[c] + C04144[c]"	"5-methyltetrahydropteroyltri-L-glutamate:L-selenohomocysteine Se-methyltransferase"	"Selenohomocysteine + 5-Methyltetrahydropteroyltri-L-glutamate <=> L-Selenomethionine + Tetrahydropteroyltri-L-glutamate"
"R00961"	"C00104[c] + C00001[c] <=> C00130[c] + C00009[c]"	"IDP phosphohydrolase;"	"IDP + H2O <=> IMP + Orthophosphate"
"R12220"	"C00352[c] <=> C06377[c]"	"D-glucosamine 6-phosphate 4-epimerase"	"D-Glucosamine 6-phosphate <=> D-Galactosamine 6-phosphate"
"R09129"	"C18235[c] + C00003[c] <=> C06718[c] + C00004[c] + C00080[c]"	"S-(hydroxymethyl)mycothiol:NAD+ oxidoreductase"	"S-(Hydroxymethyl)mycothiol + NAD+ <=> S-Formylmycothiol + NADH + H+"
"R00802"	"C00089[c] + C00001[c] <=> C02336[c] + C00267[c]"	"sucrose alpha-glucohydrolase"	"Sucrose + H2O <=> beta-D-Fructose + alpha-D-Glucose"
"R05339"	"C06019[c] <=> C00085[c]"	"D-arabino-hex-3-ulose-6-phosphate isomerase"	"D-arabino-Hex-3-ulose 6-phosphate <=> D-Fructose 6-phosphate"
"R09528"	"C00512[c] + C00556[c] <=> C12537[c] + C00010[c]"	"benzoyl-CoA:benzyl alcohol O-benzoyltransferase"	"Benzoyl-CoA + Benzyl alcohol <=> Benzyl benzoate + CoA"
"R03259"	"C04212[c] + C00001[c] <=> C01117[c]"	"3',5'-cyclic-nucleotide 5'-nucleotidohydrolase"	"3',5'-Cyclic nucleotide + H2O <=> Nucleoside 5'-phosphate"
"R06126"	"C00065[c] + C00006[c] <=> C11822[c] + C00005[c] + C00080[c]"	"L-serine:NADP+ 3-oxidoreductase"	"L-Serine + NADP+ <=> 2-Aminomalonate semialdehyde + NADPH + H+"
"R03097"	"C00954[c] + C00007[c] <=> C05835[c]"	"X"	"Indole-3-acetate + Oxygen <=> 2-Formaminobenzoylacetate"
"R02730"	"C00665[c] + C00001[c] <=> C03267[c] + C00009[c]"	"D-fructose-2,6-bisphosphate 6-phosphohydrolase"	"beta-D-Fructose 2,6-bisphosphate + H2O <=> beta-D-Fructose 2-phosphate + Orthophosphate"
"R08777"	"2 C02412[c] + C17541[c] <=> 2 C01642[c] + C17542[c]"	"glycyl-tRNA:undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)-D-alanyl-D-alanine glycyltransferase"	"2 Glycyl-tRNA(Gly) + Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)-D-alanyl-D-alanine <=> 2 tRNA(Gly) + Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)3-D-alanyl-D-alanine"
"R06896"	"C11831[c] + C00005[c] + C00080[c] <=> C02880[c] + C00006[c]"	"chlorophyllide-a:NADP+ oxidoreductase"	"Divinylprotochlorophyllide + NADPH + H+ <=> Protochlorophyllide + NADP+"
"R07972"	"C07481[c] + C00005[c] + C00080[c] + C00007[c] <=> C07130[c] + C00006[c] + C00067[c] + C00001[c]"	"X"	"Caffeine + NADPH + H+ + Oxygen <=> Theophylline + NADP+ + Formaldehyde + H2O"
"R11409"	"C01222[c] + C00025[c] <=> C20612[c] + C00026[c] + C00014[c]"	"GDP-4-dehydro-alpha-D-rhamnose 3-hydro-lyase"	"GDP-4-dehydro-6-deoxy-D-mannose + L-Glutamate <=> GDP-4-dehydro-3,6-dideoxy-alpha-D-mannose + 2-Oxoglutarate + Ammonia"
"R06798"	"C12137[c] <=> C12640[c]"	"X"	"Pelargonidin 3-O-glucoside <=> Pelargonidin 3-O-(6-caffeoyl-beta-D-glucoside) 5-O-beta-D-glucoside"
"R03511"	"C02059[c] + C01119[c] + C00001[c] <=> C05849[c] + C00265[c]"	"phylloquinone:oxidized-dithiothreitol oxidoreductase"	"Phylloquinone + Oxidized dithiothreitol + H2O <=> Vitamin K1 epoxide + Dithiothreitol"
"R11507"	"C18157[c] + C00019[c] <=> C21427[c] + C00021[c]"	"S-adenosyl-L-methionine:8-ethyl-12-methyl-3-vinylbacteriochlorophyllide-d C-12(1)-methyltransferase"	"8-Ethyl-12-methyl-3-vinylbacteriochlorophyllide d + S-Adenosyl-L-methionine <=> 8,12-Diethyl-3-vinylbacteriochlorophyllide d + S-Adenosyl-L-homocysteine"
"R05326"	"C06372[c] + C00009[c] <=> C00446[c] + C00140[c]"	"beta-D-galactopyranosyl-(13)-N-acetyl-D-hexosamine:phosphate galactosyltransferase"	"Lacto-N-biose + Orthophosphate <=> alpha-D-Galactose 1-phosphate + N-Acetyl-D-glucosamine"
"R10059"	"C00082[c] + 2 C00006[c] + 2 C00708[c] <=> C01060[c] + 2 C00005[c]"	"L-tyrosine,iodide:NADP+ oxidoreductase (iodinating)"	"L-Tyrosine + 2 NADP+ + 2 Iodide <=> 3,5-Diiodo-L-tyrosine + 2 NADPH"
"R03184"	"C01040[c] + C00007[c] <=> C03289[c] + C00027[c]"	"L-gulono-1,4-lactone:oxygen 2-oxidoreductase"	"L-Gulono-1,4-lactone + Oxygen <=> L-xylo-Hexulonolactone + Hydrogen peroxide"
"R13309"	"C22907[c] + C00001[c] <=> C03758[c] + C00084[c]"	"(R)-salsolinol dopamine-hydrolase (acetaldehyde-forming)"	"(R)-Salsolinol + H2O <=> Dopamine + Acetaldehyde"
"R11015"	"C00135[c] + C00097[c] + C00007[c] <=> C20993[c] + C00001[c]"	"L-histidine,L-cysteine:oxygen [S-(L-histidin-5-yl)-L-cysteine S-oxide-forming]"	"L-Histidine + L-Cysteine + Oxygen <=> S-(L-Histidin-5-yl)-L-cysteine S-oxide + H2O"
"R02370"	"C05822[c] + C00001[c] <=> C00475[c] + C00009[c]"	"cytidine 3'-phosphate phosphohydrolase"	"3'-CMP + H2O <=> Cytidine + Orthophosphate"
"R00013"	"2 C00048[c] <=> C01146[c] + C00011[c]"	"glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)"	"2 Glyoxylate <=> 2-Hydroxy-3-oxopropanoate + CO2"
"R12128"	"C16141[c] + 3 C03024[c] + 3 C00007[c] <=> C19678[c] + 3 C03161[c] + 4 C00001[c]"	"(+)-germacrene-A,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (12-hydroxylating)"	"(+)-Germacrene A + 3 [Reduced NADPH---hemoprotein reductase] + 3 Oxygen <=> Germacrene A acid + 3 [Oxidized NADPH---hemoprotein reductase] + 4 H2O"
"R09410"	"C19586[c] + C00001[c] <=> C19588[c]"	"epoxide hydrolase"	"Aflatoxin B1-exo-8,9-epoxide + H2O <=> Aflatoxin B1 diol"
"R04030"	"C00002[c] + C02730[c] + C00010[c] <=> C00020[c] + C00013[c] + C03160[c]"	"O-succinylbenzoate:CoA ligase (AMP-forming)"	"ATP + 2-Succinylbenzoate + CoA <=> AMP + Diphosphate + 2-Succinylbenzoyl-CoA"
"R05957"	"G10616 + G00124 <=> G10621 + G00125"	"X"	"G10616 + G00124 <=> G10621 + G00125"
"R08353"	"C00002[c] + C00051[c] + C16562[c] <=> C00008[c] + C00009[c] + C16563[c]"	"glutathione:glutathionylspermine ligase (ADP-forming)"	"ATP + Glutathione + Glutathionylspermine <=> ADP + Orthophosphate + Bis(glutathionyl)spermine"
"R09749"	"C01080[c] + C00006[c] <=> C00876[c] + C00005[c] + C00080[c]"	"reduced coenzyme F420:NADP+ oxidoreductase"	"Reduced coenzyme F420 + NADP+ <=> Coenzyme F420 + NADPH + H+"
"R06332"	"C11863[c] <=> C02035[c]"	"X"	"Gibberellin A9 <=> Gibberellin A20"
"R07294"	"C15524[c] + C00001[c] <=> C02137[c] + C00010[c]"	"phenylglyoxylyl-CoA hydrolase"	"Phenylglyoxylyl-CoA + H2O <=> alpha-Oxo-benzeneacetic acid + CoA"
"R13358"	"C22947[c] + 2 C00019[c] + C00030[c] <=> C22948[c] + C00021[c] + C05198[c] + C00073[c] + C00028[c]"	"S-adenosyl-L-methionine:(2R,3R,5S,6R)-6-(methyl)-2-(S-pantetheinyl)-carbapenam-3-carboxylate 6-C-methyltransferase"	"(2R,3R,5S,6R)-6-(Methyl)-2-(S-pantetheinyl)-carbapenam-3-carboxylate + 2 S-Adenosyl-L-methionine + Reduced acceptor <=> (2R,3R,5S,6R)-6-(Ethyl)-2-(S-pantetheinyl)-carbapenam-3-carboxylate + S-Adenosyl-L-homocysteine + 5'-Deoxyadenosine + L-Methionine + Acceptor"
"R07710"	"C00805[c] + C00005[c] + C00007[c] + C00080[c] <=> C00628[c] + C00006[c] + C00001[c]"	"salicylate,NADPH:oxygen oxidoreductase (5-hydroxylating)"	"Salicylate + NADPH + Oxygen + H+ <=> 2,5-Dihydroxybenzoate + NADP+ + H2O"
"R02401"	"C03273[c] + C00003[c] + C00001[c] <=> C00489[c] + C00004[c] + C00080[c]"	"glutarate-semialdehyde:NAD+ oxidoreductase"	"5-Oxopentanoate + NAD+ + H2O <=> Glutarate + NADH + H+"
"R04113"	"C04303[c] + C00001[c] <=> C03001[c] + C02126[c]"	"N-benzoyl-D-arginine-4-nitroanilide amidohydrolase"	"N-Benzoyl-D-arginine-4-nitroanilide + H2O <=> N-Benzoyl-D-arginine + 4-Nitroaniline"
"R03532"	"C00030[c] + C00027[c] <=> C00028[c] + 2 C00001[c]"	"donor:hydrogen-peroxide oxidoreductase"	"Reduced acceptor + Hydrogen peroxide <=> Acceptor + 2 H2O"
"R10678"	"C00002[c] + C01042[c] + C00025[c] <=> C00008[c] + C00009[c] + C12270[c]"	"N-acetyl-L-aspartate:L-glutamate ligase (ADP, N-acetyl-L-aspartyl-L-glutamate-forming)"	"ATP + N-Acetyl-L-aspartate + L-Glutamate <=> ADP + Orthophosphate + N-Acetylaspartylglutamate"
"R04316"	"C00024[c] + C03803[c] <=> C00010[c] + C04341[c]"	"acetyl-CoA:ribosomal-protein-L-alanine N-acetyltransferase"	"Acetyl-CoA + Ribosomal-protein L-alanine <=> CoA + Ribosomal-protein N-acetyl-L-alanine"
"R01089"	"C00024[c] + C00123[c] <=> C00010[c] + C02710[c]"	"acetyl-CoA:L-leucine N-acetyltransferase"	"Acetyl-CoA + L-Leucine <=> CoA + N-Acetyl-L-leucine"
"R07503"	"C15882[c] <=> C14151[c]"	"delta-tocopherol lyase (decyclizing)"	"2-Methyl-6-phytylquinol <=> delta-Tocopherol"
"R04165"	"C03205[c] <=> C04108[c]"	"11-deoxycorticosterone ketol-isomerase"	"11-Deoxycorticosterone <=> 20-Hydroxy-3-oxopregn-4-en-21-al"
